collection_start_time;members_count;sources_id;source_name
"2023-03-01T00:55:15Z";2348;"ok;42863649423557;1";"ok"
"2023-03-01T00:55:15Z";346;"ok;42926456045782;1";"ok"
"2023-03-01T00:55:15Z";3289;"ok;47188592295970;1";"ok"
"2023-03-01T00:55:15Z";58743;"ok;48187492401283;1";"ok"
"2023-03-01T00:55:15Z";540;"ok;50751313608769;1";"ok"
"2023-03-01T00:55:15Z";1649270;"ok;50752764379349;1";"ok"
"2023-03-01T00:55:15Z";540;"ok;50809568493660;1";"ok"
"2023-03-01T00:55:15Z";288;"ok;51457726349441;1";"ok"
"2023-03-01T00:55:15Z";115;"ok;51506338267346;1";"ok"
"2023-03-01T00:55:15Z";80231;"ok;51771620786414;1";"ok"
"2023-03-01T00:55:15Z";985;"ok;51839194235075;1";"ok"
"2023-03-01T00:55:15Z";195;"ok;51974936592567;1";"ok"
"2023-03-01T00:55:15Z";231;"ok;51992191172689;1";"ok"
"2023-03-01T00:55:15Z";1590;"ok;52065043873993;1";"ok"
"2023-03-01T00:55:15Z";432;"ok;52139777130588;1";"ok"
"2023-03-01T00:55:15Z";1742;"ok;52245425094862;1";"ok"
"2023-03-01T00:55:15Z";1416;"ok;52284273852578;1";"ok"
"2023-03-01T00:55:15Z";750;"ok;52292554391680;1";"ok"
"2023-03-01T00:55:15Z";790;"ok;52599743250651;1";"ok"
"2023-03-01T00:55:15Z";296;"ok;52675592650933;1";"ok"
"2023-03-01T00:55:15Z";811;"ok;52830759944343;1";"ok"
"2023-03-01T00:55:15Z";234;"ok;52976240099540;1";"ok"
"2023-03-01T00:55:15Z";393;"ok;52993432813750;1";"ok"
"2023-03-01T00:55:15Z";1278;"ok;53080790335569;1";"ok"
"2023-03-01T00:55:15Z";72;"ok;53088186990661;1";"ok"
"2023-03-01T00:55:15Z";17999;"ok;53339377238108;1";"ok"
"2023-03-01T00:55:15Z";589;"ok;53774709358822;1";"ok"
"2023-03-01T00:55:15Z";1347;"ok;53811959103490;1";"ok"
"2023-03-01T00:55:15Z";162162;"ok;53915694989329;1";"ok"
"2023-03-01T00:55:15Z";1095;"ok;54037390229719;1";"ok"
"2023-03-01T00:55:15Z";276;"ok;54350853243051;1";"ok"
"2023-03-01T00:55:15Z";956;"ok;54377279717383;1";"ok"
